18850
77	88	126	0
83	91	131	0
84	92	132	0
80	92	132	0
78	88	128	0
168	190	238	0
215	217	251	0
211	219	255	0
206	217	255	0
207	215	255	0
207	219	253	0
201	210	253	0
202	212	252	0
70	81	119	0
76	87	125	0
83	91	131	0
81	89	129	0
80	92	132	0
79	87	127	0
171	192	244	0
223	226	255	0
214	222	255	0
207	218	255	0
204	212	252	0
207	220	252	0
202	211	254	0
202	212	252	0
72	83	121	0
76	84	124	0
82	90	130	0
79	87	127	0
80	92	132	0
80	86	129	0
175	193	246	0
222	225	255	0
207	215	252	0
204	215	253	0
206	214	254	0
206	218	252	0
203	212	255	0
202	212	252	0
73	84	122	0
77	85	125	0
79	87	127	0
78	86	126	0
80	92	132	0
79	85	128	0
181	198	247	0
213	218	251	0
205	213	250	0
203	214	252	0
205	213	253	0
205	217	251	0
204	214	254	0
201	211	251	0
73	83	123	0
77	84	127	0
77	84	127	0
77	85	125	0
84	94	134	0
77	83	128	0
189	204	250	0
207	215	252	0
211	219	255	0
204	214	254	0
200	207	250	0
205	216	254	0
200	210	250	0
201	211	251	0
73	83	123	0
77	84	127	0
81	89	129	0
79	87	127	0
83	93	133	0
71	84	130	0
197	210	254	0
208	216	253	0
209	217	254	0
205	215	255	0
200	207	250	0
204	215	253	0
199	209	249	0
200	210	250	0
71	81	121	0
76	83	126	0
80	88	128	0
84	92	132	0
82	92	132	0
62	80	127	0
197	211	253	0
208	217	255	0
206	215	253	0
203	212	255	0
201	210	253	0
203	213	253	0
199	209	249	0
199	210	254	0
70	80	120	0
76	83	126	0
79	87	127	0
91	99	139	0
81	91	131	0
158	181	229	0
193	207	249	0
206	215	253	0
209	220	255	0
200	209	252	0
204	213	255	0
203	213	253	0
198	208	248	0
197	208	252	0
74	83	126	0
74	80	125	0
79	87	127	0
82	90	130	0
78	86	126	0
154	184	233	0
191	205	247	0
206	216	255	0
210	221	255	0
205	214	255	0
204	215	255	0
199	208	251	0
199	209	249	0
200	211	255	0
74	83	126	0
76	82	127	0
79	87	127	0
79	87	127	0
77	85	125	0
159	191	244	0
196	212	255	0
203	213	253	0
205	216	254	0
197	206	250	0
203	214	255	0
200	209	252	0
199	209	249	0
199	210	254	0
73	82	125	0
77	83	128	0
78	86	126	0
80	86	127	0
77	85	125	0
150	186	240	0
196	212	255	0
206	216	255	0
204	214	254	0
199	210	254	0
192	203	247	0
201	211	251	0
199	209	249	0
198	209	253	0
72	81	124	0
78	84	129	0
79	87	127	0
84	90	131	0
81	92	130	0
143	182	237	0
196	211	255	0
205	215	255	0
206	216	255	0
201	212	255	0
187	198	242	0
